	Term	P-value	trait_efos	trait_category	program_name	trait_reported	Genes	study_id	pmid	-log10(p-value)
10081	EFO_0007783	0.347369493731319	EFO_0007783	measurement	41	Mosaic loss of chromosome Y (Y chromosome dosage)	STMP1	GCST009067	PMID:31624269	0.4592083243054157
10082	EFO_0004761	0.3474976404494082	EFO_0004761	measurement	51	Serum uric acid levels	CHORDC1;FTO;EPB41L2;CDC42BPA;MIPOL1;RAI14	GCST90018977	PMID:34594039	0.45904813997539495
10083	EFO_0600088	0.3475555918378255	EFO_0600088	measurement	28	Lymphocyte-to-monocyte ratio	BCL2A1;S1PR1	GCST90085816	PMID:34469753	0.4589757197143345
10084	EFO_0009941	0.3476937908845853	EFO_0009941	measurement	47	Medication use (adrenergics, inhalants)	LPP;RORA	GCST90018999	PMID:34594039	0.45880306487797184
10085	EFO_0005763	0.347828177467737	EFO_0005763	measurement	16	Pulse pressure	RNF207;ESR1;MYNN;TGIF1;VASN	GCST90000061	PMID:33230300	0.45863523882822343
10086	EFO_0004844	0.3478350775010271	EFO_0004844	measurement	53	Hip bone size	SCLT1	GCST010300	PMID:32314116	0.4586266236071045
10087	EFO_0004842	0.3478664560825671	EFO_0004842	measurement	26	Eosinophil counts	CHD1;ZFP36L1;FOSL1;TRMT10C;CHD7;MYC;DCAF4	GCST90002302	PMID:32888493	0.45858744719548494
10088	EFO_0009930	0.3479257749942513	EFO_0009930	measurement	23	Medication use (calcium channel blockers)	APOE;ALDH2	GCST90018987	PMID:34594039	0.45851339671050173
10089	EFO_0007878	0.3482853791153563	EFO_0007878	measurement	6	Alcohol consumption (drinks per week) (MTAG)	MYT1L;RPS6KA5;RASGRF2	GCST007472	PMID:30643251	0.4580647566723979
10090	EFO_0009926	0.3485235375520071	EFO_0009926	measurement	54	Medication use (vasodilators used in cardiac diseases)	RDX	GCST90018983	PMID:34594039	0.45776788647912214
10091	EFO_0007991	0.3486267653913536	EFO_0007991	measurement	27	Eosinophil percentage of white cells	CREB5;ELMO1;UHRF2;RORA;CDK6;NFATC2;RRBP1;NDFIP1;DUSP6;ITGB8;ST6GAL1;ARHGAP26;TOX2;HIVEP2;RESF1	GCST90002382	PMID:32888494	0.4576392735210689
10092	EFO_0004308	0.3486756299394325	EFO_0004308	measurement	13	White blood cell count	CPEB4;CSF1;LAPTM5;SNX2;CD46;CDKN2B;MXI1;TNFRSF10C;KITLG	GCST90018978	PMID:34594039	0.4575784058006417
10093	EFO_0600088	0.3491485152943361	EFO_0600088	measurement	48	Lymphocyte-to-monocyte ratio	SCARB1;S1PR1	GCST90085816	PMID:34469753	0.45698980039612247
10094	EFO_0007984	0.3491624971247169	EFO_0007984	measurement	12	Platelet distribution width	NCK1;EIF4E;SPC25;NEK2;ZMYND8;ADGRE5;PRC1;ARPC2;TAGLN2;WEE1;ANKRD28	GCST90002401	PMID:32888494	0.45697240920029675
10095	EFO_0005674	0.3492392813443837	EFO_0005674	measurement	17	White matter microstructure (mean diusivities) [Superior fronto-occipital fasciculus]	GAL3ST1	GCST009538_20	PMID:31666681	0.4568769141312379
10096	EFO_0005674	0.3492392813443837	EFO_0005674	measurement	17	White matter microstructure (fractional anisotropy) [Anterior corona radiata]	GAL3ST1	GCST009539	PMID:31666681	0.4568769141312379
10097	EFO_0005674	0.3492392813443837	EFO_0005674	measurement	17	White matter microstructure (fractional anisotropy) [Body of corpus callosum]	GAL3ST1	GCST009539_4	PMID:31666681	0.4568769141312379
10098	EFO_0005674	0.3492392813443837	EFO_0005674	measurement	17	White matter microstructure (fractional anisotropy) [Cingulate gyrus]	GAL3ST1	GCST009539_5	PMID:31666681	0.4568769141312379
10099	EFO_0005674	0.3492392813443837	EFO_0005674	measurement	17	White matter microstructure (radial diusivities) [Anterior corona radiata]	GAL3ST1	GCST009540	PMID:31666681	0.4568769141312379
10100	EFO_0005674	0.3492392813443837	EFO_0005674	measurement	17	White matter microstructure (radial diusivities) [Splenium of corpus callosum]	GAL3ST1	GCST009540_18	PMID:31666681	0.4568769141312379
10101	EFO_0007946	0.3492392813443837	EFO_0007946	measurement	17	Frequency of tiredness / lethargy in last 2 weeks	EXD2	NEALE2_2080		0.4568769141312379
10102	EFO_0009598	0.3492392813443837	EFO_0009598	measurement	17	Feeling miserable	LSAMP	GCST006943	PMID:29500382	0.4568769141312379
10103	EFO_0009599	0.3492392813443837	EFO_0009599	measurement	17	Feeling hurt	EXD2	GCST006951	PMID:29500382	0.4568769141312379
10104	EFO_0007986	0.3494789858625017	EFO_0007986	measurement	10	High light scatter reticulocyte count	LARP4B;SIRPA;MMADHC;CPEB4;RYBP;INSR;PPP1R15A;ASXL2;PER1;EGF;FGFRL1;ZNF317	GCST90025970	PMID:34226706	0.45657893321825527
10105	EFO_0008475	0.3495557232880466	EFO_0008475	measurement	20	Experiencing mood swings	DRD2	GCST006944	PMID:29500382	0.45648358275806433
10106	EFO_0005055	0.3495557232880466	EFO_0005055	measurement	30	QRS duration	GOSR2	GCST007104	PMID:30012220	0.45648358275806433
10107	EFO_0007937	0.3495621514513309	EFO_0007937	measurement	27	Serum total protein level	ST6GAL1;F2R;SLC12A2;COLEC12	GCST90019522	PMID:33462484	0.45647559636279655
10108	EFO_0008039	0.3496281113952315	EFO_0008039	measurement	47	Hip index	LRP5;ADAMTS9;FOXP1;CMIP;RPS6KA5;PLXND1	GCST90020026	PMID:34021172	0.45639365574871815
10109	EFO_0009795	0.3496705980988341	EFO_0009795	measurement	52	Serum urea levels	ANKRD9;GNAS;HES1	GCST90025991	PMID:34226706	0.45634088361943753
10110	EFO_0009928	0.3498131903662553	EFO_0009928	measurement	26	Medication use (diuretics)	SLC4A7;SLC7A1	GCST90018985	PMID:34594039	0.4561638186558683
10111	EFO_0004761	0.3498303427558404	EFO_0004761	measurement	36	Serum uric acid levels	NCOA7;CPEB4;FAM102A;TGIF1;PPM1A;AAK1;RBMS1;TET2	GCST90018977	PMID:34594039	0.45614252441731085
10112	EFO_0004584	0.3499177819911068	EFO_0004584	measurement	3	Mean platelet volume	FADS1;HAUS6;ZNF367;MYB;PHIP;SYNE2;XRCC2;DEGS1;PDS5B	GCST90002349	PMID:32888493	0.45603398714158916
10113	EFO_0009718	0.3499853134791226	EFO_0009718	measurement	25	Peak expiratory flow	TNPO1;GM2A;THSD4;FN1;JAG1;PRSS23;CYTL1	GCST007430	PMID:30804560	0.4559501796748675
10114	EFO_0004346, EFO_0004840	0.3501734079898377	EFO_0004346, EFO_0004840	measurement	39	Cortical thickness (min-P)	COL5A2;THBS1;DAAM1	GCST010696	PMID:32665545	0.45571683712684175
10115	EFO_0004346, EFO_0004840	0.3501734079898377	EFO_0004346, EFO_0004840	measurement	39	Cortical thickness (MOSTest)	COL5A2;THBS1;DAAM1	GCST010700	PMID:32665545	0.45571683712684175
10116	EFO_0004624	0.3501754127829912	EFO_0004624	measurement	1	Prostate-specific antigen levels	ZNF827	GCST004093	PMID:28139693	0.4557143507355519
10117	EFO_0004730, EFO_0004748	0.3501754127829912	EFO_0004730, EFO_0004748	measurement	1	Thyroid hormone levels [TSH]	VEGFA	GCST001856_7	PMID:23408906	0.4557143507355519
10118	EFO_0004587	0.3502229770494515	EFO_0004587	measurement	41	Lymphocyte counts	CTDSPL;RAC2;MAFB;CAV1;IGF2BP2;JAK1;LPP;ADTRP;RTN4	GCST90002320	PMID:32888493	0.45565536459626
10119	EFO_0004346, EFO_0006930	0.3503095795536136	EFO_0004346, EFO_0006930	measurement	8	Subcortical volume (min-P)	ATP1B3;GLIS3;APOLD1;TCF4;KTN1;JAG1;CALCRL	GCST010698	PMID:32665545	0.4555479863180809
10120	EFO_0004346, EFO_0006930	0.3503095795536136	EFO_0004346, EFO_0006930	measurement	8	Subcortical volume (MOSTest)	ATP1B3;GLIS3;APOLD1;TCF4;KTN1;JAG1;CALCRL	GCST010702	PMID:32665545	0.4555479863180809
10121	EFO_0004634	0.3503532651412289	EFO_0004634	measurement	47	Coagulation Factor VIII measurement	VWF	GCST90019386	PMID:33328453	0.45549383071440286
10122	EFO_0004634	0.3503532651412289	EFO_0004634	measurement	47	Coagulation factor Xa measurement	VWF	GCST90019430	PMID:33328453	0.45549383071440286
10123	EFO_0004748	0.3503532651412289	EFO_0004748	measurement	47	Thyroid stimulating hormone levels	HES1	GCST006899	PMID:30367059	0.45549383071440286
10124	EFO_0007015	0.3503532651412289	EFO_0007015	measurement	47	3-hydroxy-1-methylpropylmercapturic acid levels in smokers [AA]	ASB9	GCST002957_2	PMID:26053186	0.45549383071440286
10125	EFO_0600008	0.3503532651412289	EFO_0600008	measurement	47	Mitochondrial heteroplasmy measurement	CYP26B1	GCST011878	PMID:33731350	0.45549383071440286
10126	EFO_0009941	0.3505006118634282	EFO_0009941	measurement	29	Medication use (adrenergics, inhalants)	ZFP36L1;SMAD3	GCST90018999	PMID:34594039	0.4553112195555862
10127	EFO_0004695	0.3505412999001173	EFO_0004695	measurement	20	Intraocular pressure	GAS7;KBTBD8;ABCA1	GCST006412	PMID:29785010	0.4552608071921115
10128	EFO_0007985	0.3506258198430446	EFO_0007985	measurement	7	Plateletcrit	RSU1;ZFP36L1;VIM;STMP1;TM2D1;COL4A2;UBE2N;ZMAT3;MYC;SLC25A37	GCST90002400	PMID:32888494	0.4551561059191387
10129	EFO_0004346, EFO_0006930	0.3506446973054454	EFO_0004346, EFO_0006930	measurement	6	Subcortical volume (min-P)	FAM171B;MSX1;KLF11;SEMA6A;PTCH1	GCST010698	PMID:32665545	0.45513272442068836
10130	EFO_0004346, EFO_0006930	0.3506446973054454	EFO_0004346, EFO_0006930	measurement	6	Subcortical volume (MOSTest)	FAM171B;MSX1;KLF11;SEMA6A;PTCH1	GCST010702	PMID:32665545	0.45513272442068836
10131	EFO_0008377	0.3509986574380187	EFO_0008377	measurement	43	Itch intensity from mosquito bite	FOXK1	GCST004861	PMID:28199695	0.454694544697638
10132	EFO_0004730, EFO_0004748	0.3514897829027668	EFO_0004730, EFO_0004748	measurement	19	Thyroid hormone levels [TSH]	VEGFA	GCST001856_7	PMID:23408906	0.4540872945230746
10133	EFO_0005665	0.3514897829027668	EFO_0005665	measurement	19	White matter hyperintensity volume	KLHL24	GCST011946	PMID:33293549	0.4540872945230746
10134	EFO_0007841	0.3514897829027668	EFO_0007841	measurement	19	Facial morphology (segment 1)	THSD4	GCST90007181	PMID:33288918	0.4540872945230746
10135	EFO_0007841	0.3514897829027668	EFO_0007841	measurement	19	Facial morphology (segment 2)	THSD4	GCST90007182	PMID:33288918	0.4540872945230746
10136	EFO_0010605	0.3516442816804437	EFO_0010605	measurement	18	Brainstem volume	PTPN1	GCST009697	PMID:31636452	0.45389644054211864
10137	EFO_0004644	0.3518371589619177	EFO_0004644	measurement	34	TPE interval (resting)	CAMK2D	GCST010346	PMID:32386560	0.45365829483908177
10138	EFO_0004644	0.3518371589619177	EFO_0004644	measurement	34	TPE interval (resting) [men]	CAMK2D	GCST010346_2	PMID:32386560	0.45365829483908177
10139	EFO_0004644	0.3518371589619177	EFO_0004644	measurement	34	TPE interval (resting) [women]	CAMK2D	GCST010346_3	PMID:32386560	0.45365829483908177
10140	EFO_0600004	0.3518371589619177	EFO_0600004	measurement	34	Retinal nerve fibre layer (RNFL) thickness	FRMD4B	GCST90014266	PMID:33979322	0.45365829483908177
10141	EFO_0007629	0.3519248700988443	EFO_0007629	measurement	21	Hemoglobin A1c levels	PFKM;STOM;PNP;CMIP;TCF4;SRGAP3	GCST90018958	PMID:34594039	0.4535500410220443
10142	EFO_0004634	0.3521295900682115	EFO_0004634	measurement	29	Coagulation Factor VIII measurement	VWF	GCST90019386	PMID:33328453	0.4532974788679286
10143	EFO_0004634	0.3521295900682115	EFO_0004634	measurement	29	Coagulation factor Xa measurement	VWF	GCST90019430	PMID:33328453	0.4532974788679286
10144	EFO_0004748	0.3521295900682115	EFO_0004748	measurement	29	Thyroid stimulating hormone levels	IGF2BP2	GCST006899	PMID:30367059	0.4532974788679286
10145	EFO_0005130	0.3521295900682115	EFO_0005130	measurement	29	Free thyroxine concentration	NEK6	GCST006896	PMID:30367059	0.4532974788679286
10146	EFO_0007905	0.3521295900682115	EFO_0007905	measurement	29	Joint mobility (Beighton score)	SMURF2	GCST003998	PMID:27182965	0.4532974788679286
10147	EFO_0005677	0.3524537836511617	EFO_0005677	measurement	5	Male puberty timing (age at voice breaking MTAG)	PRPF40A;ARL6IP6	GCST90012088	PMID:32210231	0.45289782284613944
10148	EFO_0008394	0.3524537836511617	EFO_0008394	measurement	41	Verbal-numerical reasoning	FAM120A;PTPRN2	GCST90011298	PMID:32895543	0.45289782284613944
10149	EFO_0005090	0.3525248519655811	EFO_0005090	measurement	44	Basophil count	CD164;IFITM2;PLAUR;RCN1	GCST90002296	PMID:32888493	0.4528102611092705
10150	EFO_0007789	0.3525485656393902	EFO_0007789	measurement	44	A body shape index	MFAP2;ANXA5;LAMB1;COL4A2;CALCRL	GCST90020024	PMID:34021172	0.452781047931103
10151	EFO_0004346, EFO_0004464	0.352573637161125	EFO_0004346, EFO_0004464	measurement	37	Brain morphology (min-P)	TNIK;FOXP1;SEMA3A;FAM107B;ANK3;EGFR;HHIP;ALCAM;AFAP1;ACTN4;RRAS2	GCST010699	PMID:32665545	0.45275016413960223
10152	EFO_0004346, EFO_0004464	0.352573637161125	EFO_0004346, EFO_0004464	measurement	37	Brain morphology (MOSTest)	TNIK;FOXP1;SEMA3A;FAM107B;ANK3;EGFR;HHIP;ALCAM;AFAP1;ACTN4;RRAS2	GCST010703	PMID:32665545	0.45275016413960223
10153	EFO_0008328	0.3527800953018986	EFO_0008328	measurement	36	Chronotype	ETV1;NR2F2;CAMK2D;INO80D;FOXP1;PGPEP1;ZBTB16;ELF2;CUX1;ZNF521;PER3	GCST007576	PMID:30696823	0.4524959267840289
10154	EFO_0006312	0.3528050303036587	EFO_0006312	measurement	4	Mitochondrial DNA copy number	SLC25A5;FAR2	GCST90026371	PMID:35023831	0.452465231313611
10155	EFO_0004741	0.3528538238094335	EFO_0004741	measurement	51	Blood urea nitrogen levels	COL4A2;FTO;HNRNPF;RAI14;LRBA	GCST90018948	PMID:34594039	0.4524051718380699
10156	EFO_0004346, EFO_0004464	0.3529995716141666	EFO_0004346, EFO_0004464	measurement	6	Brain morphology (min-P)	JAG2;MSX1;TLE4;ANKS1A;VSTM4;IP6K2;SEMA6A;PTCH1	GCST010699	PMID:32665545	0.4522258216538671
10157	EFO_0004346, EFO_0004464	0.3529995716141666	EFO_0004346, EFO_0004464	measurement	6	Brain morphology (MOSTest)	JAG2;MSX1;TLE4;ANKS1A;VSTM4;IP6K2;SEMA6A;PTCH1	GCST010703	PMID:32665545	0.4522258216538671
10158	EFO_0004307	0.3530001641815121	EFO_0004307	measurement	27	Two-hour glucose	CLEC14A	GCST90002227	PMID:34059833	0.45222509262036964
10159	EFO_0004682	0.3530001641815121	EFO_0004682	measurement	27	QT interval	CAV1	GCST010919	PMID:29874175	0.45222509262036964
10160	EFO_0004625	0.3530161122492894	EFO_0004625	measurement	35	Orofacial clefts [Meta-All, NSCL/P]	SPRY2	GCST001628_3	PMID:22863734	0.4522054722289846
10161	EFO_0004634	0.3530161122492894	EFO_0004634	measurement	35	Coagulation Factor VIII measurement	JMJD1C	GCST90019386	PMID:33328453	0.4522054722289846
10162	EFO_0004634	0.3530161122492894	EFO_0004634	measurement	35	Coagulation factor Xa measurement	JMJD1C	GCST90019430	PMID:33328453	0.4522054722289846
10163	EFO_0007015	0.3530161122492894	EFO_0007015	measurement	35	3-hydroxy-1-methylpropylmercapturic acid levels in smokers [AA]	ST3GAL1	GCST002957_2	PMID:26053186	0.4522054722289846
10164	EFO_0007905	0.3530161122492894	EFO_0007905	measurement	35	Joint mobility (Beighton score)	SMURF2	GCST003998	PMID:27182965	0.4522054722289846
10165	EFO_0004326	0.3533127891079003	EFO_0004326	measurement	4	Heart rate	GJA1	GCST001969	PMID:23583979	0.45184064182226447
10166	EFO_0007783	0.3533127891079003	EFO_0007783	measurement	4	Mosaic loss of chromosome Y (Y chromosome dosage)	RBPMS	GCST009067	PMID:31624269	0.45184064182226447
10167	EFO_0009597	0.3533127891079003	EFO_0009597	measurement	4	Feeling nervous	NFIA	GCST006948	PMID:29500382	0.45184064182226447
10168	EFO_0004631	0.3535062367581633	EFO_0004631	measurement	28	Serum 25-Hydroxyvitamin D levels	S100A11;GJA1;RRAS2;GCKR	GCST90000618	PMID:32242144	0.45160291972914146
10169	EFO_0004570	0.353507430446529	EFO_0004570	measurement	23	Total bilirubin levels	BRI3;CHCHD2	GCST90018973	PMID:34594039	0.45160145324470313
10170	EFO_0004631	0.353507430446529	EFO_0004631	measurement	23	Serum 25-Hydroxyvitamin D levels	APOE;S100A11	GCST90000618	PMID:32242144	0.45160145324470313
10171	EFO_0007888	0.3536027101011871	EFO_0007888	measurement	38	Relative age voice broke	BDNF	NEALE2_2385		0.4514844151027411
10172	EFO_0004735	0.3538746114800992	EFO_0004735	measurement	9	Alanine aminotransferase levels	MET;TNPO1;NRIP1;SSR1;MPRIP;BPTF;NPC1	GCST90018943	PMID:34594039	0.45115059443967465
10173	EFO_0008002	0.3539703111545222	EFO_0008002	measurement	9	Moderate to vigorous physical activity levels	CALU	GCST006097	PMID:29899525	0.451033162387975
10174	EFO_0004346, EFO_0004840	0.3540159464612215	EFO_0004346, EFO_0004840	measurement	25	Cortical thickness (min-P)	FAM107B;COL5A2;THBS1	GCST010696	PMID:32665545	0.45097717496818057
10175	EFO_0004346, EFO_0004840	0.3540159464612215	EFO_0004346, EFO_0004840	measurement	25	Cortical thickness (MOSTest)	FAM107B;COL5A2;THBS1	GCST010700	PMID:32665545	0.45097717496818057
10176	EFO_0005665	0.3541110826460707	EFO_0005665	measurement	2	White matter hyperintensity volume	EFEMP1	GCST011946	PMID:33293549	0.4508604808761332
10177	EFO_0007797, EFO_0007849	0.3541110826460707	EFO_0007797, EFO_0007849	measurement	2	Language functional connectivity	THBS1	GCST90093325	PMID:34929384	0.4508604808761332
10178	EFO_0009589	0.3541110826460707	EFO_0009589	measurement	2	Feeling worry	ECE1	GCST006950	PMID:29500382	0.4508604808761332
10179	EFO_0010972	0.35417260078549	EFO_0010972	measurement	9	Serum phosphate levels	ZHX3;BIRC6;ZBTB38;NFIB;NF1;AFAP1;CLTC;ILRUN	GCST90025948	PMID:34226706	0.4507850393851631
10180	EFO_0006925	0.3547906332516248	EFO_0006925	measurement	3	Lipoprotein (a) levels	BAZ1B	GCST012232	PMID:33730874	0.4500278544007128
10181	EFO_0006312	0.3551490801726666	EFO_0006312	measurement	3	Mitochondrial DNA copy number	MGME1;TFAM	GCST90026371	PMID:35023831	0.44958930580243583
10182	EFO_0004309	0.3552068997214381	EFO_0004309	measurement	2	Platelet count	NREP;KLF9;S1PR3;PAK2;ACTN4;MYH9;MAFB;CAVIN2;FHL2;TGM2;CD9;TPM1;GALNT2	GCST90002361	PMID:32888493	0.4495186068522087
10183	EFO_0004530	0.355272319446583	EFO_0004530	measurement	48	Triglycerides	SNX13;SEC16A;ACTB;CMIP;QKI;SH2B3;CAND1	GCST90018975	PMID:34594039	0.4494386286489007
10184	EFO_0010934	0.3553082725960466	EFO_0010934	measurement	55	Aspartate aminotransferase to alanine aminotransferase ratio	ZCCHC10;NCK1	GCST90019498	PMID:33462484	0.4493946807713277
10185	EFO_0004343	0.3554668487265713	EFO_0004343	measurement	40	Waist-hip ratio	TOP1;CEP192;ETV5;TMPO;FGFR1;CDCA2;HMGB1;NRP1	GCST008996	PMID:30239722	0.44920089588064965
10186	EFO_0005208	0.3555232339140818	EFO_0005208	measurement	57	Estimated glomerular filtration rate	CALR;PLA2G4A;PDCD11;TRAP1	GCST008058	PMID:31152163	0.44913201228734473
10187	EFO_0007778	0.355555639143764	EFO_0007778	measurement	9	Urinary albumin-to-creatinine ratio	CHD7;PRRC2C	GCST008790	PMID:31511532	0.44909242902034374
10188	EFO_0004833	0.3555625390626516	EFO_0004833	measurement	34	Neutrophil count	KANSL1;RBPMS;PIGL;VMP1;EFHC1;ADRB2;MXI1	GCST90002355	PMID:32888493	0.44908400117588576
10189	EFO_0005091	0.3556438109181152	EFO_0005091	measurement	6	Monocyte count	BAIAP2L1;CPEB4;PMAIP1;GADD45A;MAP3K14;VSTM4;CEBPB;KCNN4;KITLG	GCST90002344	PMID:32888493	0.4489847446984472
10190	EFO_0004509	0.3556531514646953	EFO_0004509	measurement	12	Hemoglobin concentration	ARID1B;GGH;AAK1;KLF6;PHGDH;NR3C1;SNRPF;RUNX1	GCST90002314	PMID:32888493	0.44897333863866495
10191	EFO_0006784	0.3558187320629718	EFO_0006784	measurement	21	Birth length (MTAG)	PABPC4L	GCST009499	PMID:31681408	0.4487711922345555
10192	EFO_0007978	0.3558629416604804	EFO_0007978	measurement	23	Red blood cell count	MRPL33;POMP;BNIP3L;AK1;GAS6;WIPI2	GCST90002367	PMID:32888493	0.44871723557112375
10193	EFO_0004528	0.3558828338950904	EFO_0004528	measurement	19	Mean corpuscular hemoglobin concentration	BNIP3L;HSPA8;ABCC1;ITSN1	GCST90002332	PMID:32888493	0.4486929598029413
10194	EFO_0007878	0.3559422824640518	EFO_0007878	measurement	48	Alcohol consumption (drinks per week) (MTAG)	NUCKS1;TCF4;GBE1;CALU	GCST007472	PMID:30643251	0.4486204189922179
10195	EFO_0004348	0.3559775482708927	EFO_0004348	measurement	23	Hematocrit	MRPL33;POMP;AK1;CTSZ;GAS6	GCST90002308	PMID:32888493	0.44857739239101313
10196	EFO_0006925	0.3562652983813266	EFO_0006925	measurement	10	Lipoprotein (a) levels	APOB	GCST012232	PMID:33730874	0.4482264775520224
10197	EFO_0009597	0.3562652983813266	EFO_0009597	measurement	10	Feeling nervous	IRF2BPL	GCST006948	PMID:29500382	0.4482264775520224
10198	EFO_0009942	0.3562652983813266	EFO_0009942	measurement	10	Medication use (glucocorticoids)	IL1RL1	GCST90019000	PMID:34594039	0.4482264775520224
10199	EFO_0007783	0.3562652983813266	EFO_0007783	measurement	46	Mosaic loss of chromosome Y (Y chromosome dosage)	ATM	GCST009067	PMID:31624269	0.4482264775520224
10200	EFO_0009597	0.3562652983813266	EFO_0009597	measurement	46	Feeling nervous	SNCA	GCST006948	PMID:29500382	0.4482264775520224
10201	EFO_0004464	0.3562790759523481	EFO_0004464	measurement	21	Vertex-wise sulcal depth	MAST4;SHROOM3;IRF2BP2;ZFHX3;MPDZ;CADPS;S1PR1;FBXL7;SHH;TCF4;LRCH1;ZNF32;FNIP2;TPM1;CRPPA;DPYSL3	GCST90095129	PMID:34910505	0.44820968274376927
10202	EFO_0004458	0.3564352661060981	EFO_0004458	measurement	8	C-reactive protein levels	SEPTIN2;MAP4K4;IL1R1;ECM1;TNIP1;ITGA1;ST3GAL5;CHD7;STARD10;APOLD1	GCST90025959	PMID:34226706	0.44801933292481866
10203	EFO_0010934	0.3566493119344477	EFO_0010934	measurement	14	Aspartate aminotransferase to alanine aminotransferase ratio	DCAF12;APOL3;MYEOV	GCST90019498	PMID:33462484	0.4477586095049573
10204	EFO_0009924	0.3567380510665061	EFO_0009924	measurement	21	Medication use (drugs used in diabetes)	HMG20A;ZNRF3;ZFHX3	GCST90018981	PMID:34594039	0.44765056465420894
10205	EFO_0600004	0.3567776674897661	EFO_0600004	measurement	11	Retinal nerve fibre layer (RNFL) thickness	SLC6A20	GCST90014266	PMID:33979322	0.4476023381230063
10206	EFO_0600005	0.3567776674897661	EFO_0600005	measurement	11	Ganglion cell inner plexiform layer (GCIPL) thickness	SLC6A20	GCST90014267	PMID:33979322	0.4476023381230063
10207	EFO_0005671	0.3569009261344723	EFO_0005671	measurement	49	Lifetime smoking index	CD47;TMBIM6	GCST009096	PMID:31689377	0.4474523250772089
10208	EFO_0004832	0.3570652594451992	EFO_0004832	measurement	1	Optic disc size	CMSS1;FOXP1;GADD45A	GCST009462	PMID:31809533	0.4472524023000707
10209	EFO_0009700	0.357164679871742	EFO_0009700	measurement	28	Ebbinghaus illusion (underestimation)	INSIG1;PDE4DIP;UBC;C1GALT1;PRNP	GCST011567	PMID:32939015	0.44713149517888173
10210	EFO_0009700	0.357164679871742	EFO_0009700	measurement	28	Ebbinghaus illusion (overestimation)	INSIG1;PDE4DIP;UBC;C1GALT1;PRNP	GCST011568	PMID:32939015	0.44713149517888173
10211	EFO_0010701	0.3572270031639133	EFO_0010701	measurement	32	Mean reticulocyte volume	STK17B;TMEM120B;FKBP9;SUSD6;AGO2;ZNF652;AFMID;FOXP1;PTEN;HSPA4;CDKAL1	GCST90025975	PMID:34226706	0.44705571976717007
10212	EFO_0005677	0.3572359125852086	EFO_0005677	measurement	29	Male puberty timing (age at voice breaking MTAG)	NCK1;PDGFA;BDNF	GCST90012088	PMID:32210231	0.44704488837922707
10213	EFO_0004838	0.3572914427380761	EFO_0004838	measurement	23	Calcium levels	SRP14;CRIP1;FCGRT;CCND1	GCST90025990	PMID:34226706	0.4469773851861344
10214	EFO_0009253	0.3574541423022901	EFO_0009253	measurement	49	Immature fraction of reticulocytes	PSMB5;PPIA;CAV1;ENO1;SEM1	GCST90025971	PMID:34226706	0.44677966581396744
10215	EFO_0006312	0.357490386808996	EFO_0006312	measurement	46	Mitochondrial DNA copy number	SLC25A5;RHOF	GCST90026371	PMID:35023831	0.44673563221797724
10216	EFO_0004838	0.3576506963577273	EFO_0004838	measurement	32	Calcium levels	FUBP1;CPT1A;ZCCHC2;CMIP;ABCC6;DNMT3A;SLC25A37	GCST90025990	PMID:34226706	0.44654092503301657
10217	EFO_0004530	0.35766618190706	EFO_0004530	measurement	31	Triglycerides	ACTB;MICAL2;DKK3;VGLL3;GAS6;VEGFA	GCST90018975	PMID:34594039	0.4465221213703886
10218	EFO_0004535	0.3576729824872413	EFO_0004535	measurement	32	Serum albumin levels	SLC12A2;IFNGR2;ZCCHC2;IRF2BPL;FAM234B	GCST90018945	PMID:34594039	0.4465138638763394
10219	EFO_0006925	0.3577367909088939	EFO_0006925	measurement	12	Lipoprotein (a) levels	PSRC1	GCST012232	PMID:33730874	0.4464363931832439
10220	EFO_0007783	0.3577367909088939	EFO_0007783	measurement	12	Mosaic loss of chromosome Y (Y chromosome dosage)	APOLD1	GCST009067	PMID:31624269	0.4464363931832439
10221	EFO_0009597	0.3577367909088939	EFO_0009597	measurement	12	Feeling nervous	CENPW	GCST006948	PMID:29500382	0.4464363931832439
10222	EFO_0009767	0.3577367909088939	EFO_0009767	measurement	12	Glycine levels	PHGDH	GCST007638	PMID:30837465	0.4464363931832439
10223	EFO_0004612	0.3577368811805104	EFO_0004612	measurement	15	HDL cholesterol levels	PNP;KLF13;FOXP1;SULF2;NCOR2;CLIC4;CCND3;ZMIZ1;HSD17B12;BCL3;TRIB1;PTTG1IP	GCST010242	PMID:32203549	0.44643628359300613
10224	EFO_0007996	0.3577534845363009	EFO_0007996	measurement	36	Eosinophil percentage of granulocytes	ATXN2;ST3GAL6;WNK1;KLF3;MKLN1;BPTF	GCST004617	PMID:27863252	0.4464161274982557
10225	EFO_0009931	0.3577534845363009	EFO_0009931	measurement	36	Medication use (agents acting on the renin-angiotensin system)	ZFP36L2;ATP2B1;SOX7;NRIP1;CRK;HIPK2	GCST90018988	PMID:34594039	0.4464161274982557
10226	EFO_0009390	0.3578507158746689	EFO_0009390	measurement	50	Sum neutrophil eosinophil counts	CD164;PLAUR;ACVRL1;VMP1;ADGRL4	GCST004613	PMID:27863252	0.44629810964996225
10227	EFO_0007006	0.3579826084763671	EFO_0007006	measurement	32	Depressive symptoms	RSRC1;GNAO1;ETNK1;VPS41	GCST007340	PMID:30643256	0.44613807175337084
