Term	FDR q-val	trait_efos	trait_category	program_name	trait_reported	Lead_genes	study_id	pmid	-log10(p-value)
EFO_0004528	0.368949744378072	EFO_0004528	measurement	47	Mean corpuscular hemoglobin concentration	ZEB2;ABO;SOX6;ARHGAP42;MYC;ATP2B4;HSPA8;PPARG;PLCB1;YPEL2;CCND2;SLC12A7	GCST90002332	PMID:32888493	0.4330327862140869
EFO_0009924	0.3689574935705392	EFO_0009924	measurement	34	Medication use (drugs used in diabetes)	PTCH1;HMGA2;LPP;SPRY2;ST6GAL1;FBXW7	GCST90018981	PMID:34594039	0.4330236646569188
EFO_0004345	0.3690425271775379	EFO_0004345	measurement	54	Corneal curvature	STXBP6;COL5A1	GCST90012795	PMID:32193507	0.4329235843712249
EFO_0010972	0.3690753126379231	EFO_0010972	measurement	33	Serum phosphate levels	GJA1;ALDH1A2;ENPP1;RORA;HECW2;SPRY4;PRAG1;STAG1;AFAP1L2;ZFPM1;ZNF423;CMIP;BCAS3;AFAP1;GAS7;RNF144A;ST3GAL4;FOXO3;OGFRL1;JAZF1;JADE2	GCST90025948	PMID:34226706	0.4328850036900023
EFO_0008375	0.3690766930123532	EFO_0008375	measurement	47	Macular thickness	RSPO2;FBN1;CGNL1;FYN;PDGFRA;FOXO3;NCAM1;CTNND2;PRRX1;CDKN2B;FAT1;ARHGAP32;LHFPL2;SLC16A1;GLCCI1;INVS;EFEMP1	GCST006976	PMID:30535121	0.43288337939312754
EFO_0004735	0.3691121698461484	EFO_0004735	measurement	48	Alanine aminotransferase levels	SOX9;CDK6;ETV6;EFNA5;SOX6;CDKN1A;MBNL1;MAFB;PLXNB2;GLI2;RORA;APOE;GAB2;ITGA1	GCST90018943	PMID:34594039	0.43284163562282774
EFO_0007978	0.3692325447702941	EFO_0007978	measurement	42	Red blood cell count	MDM2;RRM2B;ANK1;NDUFAF6;WWOX;PLCL2;FMN1;AGAP1;MFSD2A;FOXO1;KITLG;TEX9;GAS6;CPEB4;KAT2B;LRMDA;EPB41L5;TSPAN9;THRB;PTEN;GMDS	GCST90002367	PMID:32888493	0.4327000265214303
EFO_0004341	0.3693131695069439	EFO_0004341	measurement	1	Body fat distribution (arm fat ratio)	BNC2;CABLES1;B4GALNT3;JAZF1;GNA12;VCAN;ADAMTS17;PCSK5;SLC25A37;SMAD3;ADAMTSL3;CPZ;CYBRD1	GCST007293	PMID:30664634	0.4326052053676572
EFO_0004341	0.3693131695069439	EFO_0004341	measurement	1	Body fat distribution (arm fat ratio) [females]	BNC2;CABLES1;B4GALNT3;JAZF1;GNA12;VCAN;ADAMTS17;PCSK5;SLC25A37;SMAD3;ADAMTSL3;CPZ;CYBRD1	GCST007293_2	PMID:30664634	0.4326052053676572
EFO_0004341	0.3693131695069439	EFO_0004341	measurement	1	Body fat distribution (arm fat ratio) [males]	BNC2;CABLES1;B4GALNT3;JAZF1;GNA12;VCAN;ADAMTS17;PCSK5;SLC25A37;SMAD3;ADAMTSL3;CPZ;CYBRD1	GCST007293_3	PMID:30664634	0.4326052053676572
EFO_0004341	0.3693131695069439	EFO_0004341	measurement	1	Body fat distribution (trunk fat ratio)	BNC2;CABLES1;B4GALNT3;JAZF1;GNA12;VCAN;ADAMTS17;PCSK5;SLC25A37;SMAD3;ADAMTSL3;CPZ;CYBRD1	GCST007294	PMID:30664634	0.4326052053676572
EFO_0004341	0.3693131695069439	EFO_0004341	measurement	1	Body fat distribution (trunk fat ratio) [females]	BNC2;CABLES1;B4GALNT3;JAZF1;GNA12;VCAN;ADAMTS17;PCSK5;SLC25A37;SMAD3;ADAMTSL3;CPZ;CYBRD1	GCST007294_2	PMID:30664634	0.4326052053676572
EFO_0004341	0.3693131695069439	EFO_0004341	measurement	1	Body fat distribution (leg fat ratio)	BNC2;CABLES1;B4GALNT3;JAZF1;GNA12;VCAN;ADAMTS17;PCSK5;SLC25A37;SMAD3;ADAMTSL3;CPZ;CYBRD1	GCST007295	PMID:30664634	0.4326052053676572
EFO_0004341	0.3693131695069439	EFO_0004341	measurement	1	Body fat distribution (leg fat ratio) [females]	BNC2;CABLES1;B4GALNT3;JAZF1;GNA12;VCAN;ADAMTS17;PCSK5;SLC25A37;SMAD3;ADAMTSL3;CPZ;CYBRD1	GCST007295_2	PMID:30664634	0.4326052053676572
EFO_0004341	0.3693131695069439	EFO_0004341	measurement	1	Body fat distribution (leg fat ratio) [males]	BNC2;CABLES1;B4GALNT3;JAZF1;GNA12;VCAN;ADAMTS17;PCSK5;SLC25A37;SMAD3;ADAMTSL3;CPZ;CYBRD1	GCST007295_3	PMID:30664634	0.4326052053676572
EFO_0004631	0.3693181818181817	EFO_0004631	measurement	36	Serum 25-Hydroxyvitamin D levels	GJA1;SOX5;ALDH1A2;DNAH11;TRPS1	GCST90000618	PMID:32242144	0.43259931117129435
EFO_0004574	0.3693555270276269	EFO_0004574	measurement	22	Total cholesterol levels	OIT3;VIM;ABO;RP1;ST3GAL4	GCST90018974	PMID:34594039	0.4325553978217135
EFO_0004340	0.3694384343204764	EFO_0004340	measurement	48	Body mass index	NTRK2;LSAMP;CADM1;UBASH3B;ARNTL;LINGO2;CDH13;HIVEP3;PCSK1;MAML3;TNIK;ALCAM;NTM;AGAP1;BACH1;DUSP6;KLF7;HIVEP2;MAFB;EXT1;DLK1;RORA;SLC22A3;TLR4;ARAP1;RCN1;CPNE4;NEDD1;ADGRG6;ZCCHC7;FBXL17;CCDC57;PCDH7;SMG6;ASCC3;TRAF3;BTBD9;ADGRL2;KCNMA1;AKT3;LIMD2;GIPR;CCDC92;NR4A2;SLC25A37;XKR6;NLK;NPC1;ADK;TRIM66	GCST009004	PMID:30239722	0.4324579249623536
EFO_0009270	0.3694697987948626	EFO_0009270	measurement	53	Heel bone mineral density	PAPPA;CADM1;AFF3;FOXC1;CDH11;NCAM1;PTCH1;NTN1;FBN2;PKNOX2;COL1A2;TRABD2B;ZNF423;TGFBR3;ARHGAP42;WLS;WWOX;EBF1;NAV1;ADGRD1;CNTFR;FN1;FZD7;DAAM2;FAM13A;TNS1;FRZB;FOS;DGKG;PLXDC2;SMAD3;ZEB2;SETBP1;RAD51B;LRMDA;SATB2;SOBP;RPS6KA5;CYBRD1;SOX9;IRS2;IKZF2;PPARG;SUMF1;TCF7L2;SYNE1;PTPRM;ZFHX4;DUSP4;EYA2;KLF12;NEK7;PTPRJ;SUPT3H;HHAT;FAT1;TTLL11;TANC1;CACNA1C;L3MBTL3;UBE3D;SASH1;SH3GL3;TNFRSF11A;CDH6;ADAMTS6;SAMD4A;DYNC1I1;TMTC2;BCAS3;LRIG1;TCF7L1;DISP1	GCST007066	PMID:30595370	0.4324210559235435
EFO_0004327	0.3698220536087014	EFO_0004327	measurement	42	Electrocardiographic traits (multivariate)	CDKN1A;TCEA3;CAMK2D	GCST011010	PMID:32602732	0.4320071941098258
EFO_0004761	0.3698919675214459	EFO_0004761	measurement	48	Serum uric acid levels	UBASH3B;FSIP1;JAG1;ABCA1;GLI2;SLC22A3;APOE;CPEB4;GMDS	GCST90018977	PMID:34594039	0.43192509960915054
EFO_0009932	0.3699259259259259	EFO_0009932	measurement	17	Medication use (HMG CoA reductase inhibitors)	TRPS1;DNAH11;SMAD3;PLEC;ST3GAL4;BMPR1B;ITPR3;HERC3	GCST90018989	PMID:34594039	0.4318852304796772
EFO_0004995	0.370037158690546	EFO_0004995	measurement	30	Fat-free mass	ADGRG6;SMAD6;IRS1;CDK6;HMGA2;CPS1;ZFAT;ACAN;HEXIM2;L3MBTL3;KIZ;GLI3;BCKDHB;GNA12;DIS3L2	GCST007063	PMID:30593698	0.43175466240878413
EFO_0004995	0.370037158690546	EFO_0004995	measurement	30	Fat-free mass [female]	ADGRG6;SMAD6;IRS1;CDK6;HMGA2;CPS1;ZFAT;ACAN;HEXIM2;L3MBTL3;KIZ;GLI3;BCKDHB;GNA12;DIS3L2	GCST007063_2	PMID:30593698	0.43175466240878413
EFO_0004995	0.370037158690546	EFO_0004995	measurement	30	Fat-free mass [male]	ADGRG6;SMAD6;IRS1;CDK6;HMGA2;CPS1;ZFAT;ACAN;HEXIM2;L3MBTL3;KIZ;GLI3;BCKDHB;GNA12;DIS3L2	GCST007063_3	PMID:30593698	0.43175466240878413
EFO_0004612	0.3700943044515004	EFO_0004612	measurement	14	HDL cholesterol levels	BMPR1A;ARL15;ABCA1;ZFPM2;ZBTB20;CRTAC1;FOXP1;PDE3A;MYO5B;VCAN;TRPS1;RAD51B;SMAD3;FOXN3;GLI2;LINGO2;BANP;CTBP2;ALDH1A2;TMPRSS11E;ZNF608;ELF1;MAP3K5;CMIP;SMAD1;FNDC3A;CCND3;MPPED2	GCST010242	PMID:32203549	0.4316875984075036
EFO_0004628	0.3703543381286971	EFO_0004628	measurement	48	Insulin-like growth factor 1 levels	CDKN2B;COL1A2;RUNX1;ARNTL;FNDC3A;WLS;SORCS2;JAG1;PRKCA;EFEMP1;ETV6;DCBLD2;GFRA1;XYLT1;PLEC;MAFB;DLK1;GLI2;SLC22A3;ZFP36L1;APOE;GAB2;CPEB4;IGFBP3;RUNX2;TBX3;KLF12;CREB3L2;FOXO1;BTBD9	GCST011520	PMID:33587031	0.43138256389392915
EFO_0004736	0.3704071045205637	EFO_0004736	measurement	47	Aspartate aminotransferase levels	C1GALT1;PLCE1;ABO;ATXN1;SOX6;RSPO3;ABCA1;ST3GAL1;RORA;ZNF704;TSPAN9;GAB2;GFOD1;C9;PPARG;SAMD4A;RGS6;CSF1;SPRY2;TCF7L1;BACH1	GCST90018944	PMID:34594039	0.43132069201038614
EFO_0004784	0.3704193548387096	EFO_0004784	measurement	26	Educational attainment (years of education)	CADM2;KIAA0825;RBFOX1;OTX2;GULP1;PLCL2;PCBP3;MAGI1;CTNNA3;LUZP2;CTNND2;LARGE1;SAMD12;CDH4;FOXN3;CAMKMT;ROBO1;NTM;ROBO2;CSMD1;DCLK1;ADGRB3;FZD7;EFNA5;GPM6A;SORBS2;BDNF;MACROD2;RIMS2;CAMK1D;CTTNBP2;CA10;DIAPH3;SYT1;GLCCI1;OSBP2;LSAMP;CELF2;CACNB4;NFIA;DENND1A;MPPED2;FOXP1;PTPRF;KNDC1;RUNX1T1;WWOX;NXPH2;NCAM2;SATB2;WDR27;RIMS1;CELF4;ZFHX4;MSI2;AUTS2;SORCS3;PHF21A;NAV3;KIAA1217;PRR16;CACNA1E;ZNF385D;CAMTA1;BCL11A;OLFM2;KCNT2;DLG2;NFIB;APBA1;SYCE2;ERBB4	GCST006442	PMID:30038396	0.431306329009428
EFO_0007788	0.3707383212631304	EFO_0007788	measurement	30	Waist-hip index	CITED2;ZFP36L1;MAFB;GSE1;ADAMTS9;ELMO1;LAMB1;COL6A2;EMILIN2;FN1;ABCA1;LPAR1;ZSWIM6;ZFAT;SLC39A8;GLI2	GCST90020027	PMID:34021172	0.43093252092227674
EFO_0005213	0.3707820669125327	EFO_0005213	measurement	54	Central corneal thickness	CYP1B1;ARID5B;SMAD3;GLIS3;CRIM1;ATXN1;DCBLD2;FBN2;LPAR1;COL5A1	GCST90000654	PMID:32528159	0.43088127892146955
EFO_0004339	0.3708372920805539	EFO_0004339	measurement	2	Height	TCF7L2;GNA12;LATS2;RBPMS;NEK7;AGAP1;UBE3D;ZNF608;NOCT;SOCS5;HS6ST1;DIS3L2;ZFAT;PELI1;AUTS2;UST;PTPRG;B4GALNT3;CHSY1;SMAD3;CABLES1;BCKDHB;QSOX2;FYN;CREB3L2;GLS;SOBP;FOXP1;ZHX2;SATB2;GRB10;PIP4K2A;DAP;KIZ;ZNF143;SFMBT2;PLPP3;ZNF521;GLI2;MBNL1;L3MBTL3;PRKG2;GLCCI1;PTCH1;MEGF9;TPX2;NFIB;PCSK5;TRPS1;PDGFC;INSIG2;SLC7A1;HMGA2;GAB2;MAFK;KCNJ12;PRICKLE1;LPAR1;DTL;WWTR1;ADAMTS10;SPSB1;SPRY2;CD163L1;LTBP1;DGKH;ANTXR1;ZNF423;GDF5	GCST90018959	PMID:34594039	0.43081659887910745
EFO_0007985	0.3710170191293178	EFO_0007985	measurement	48	Plateletcrit	VIM;FN1;CDKN2B;EGFR;THBS1;BMP6;PDGFC;UBASH3B;COL4A2;CDK6;NREP;NAV3;ARID5B;SVIL;SOX6;IRS1;HAND2;LMCD1;PLAUR;PLCB1;SLC5A3;BACH2;HIVEP2;HDAC9;PLEC;MAFB;MSI2;TWIST2;DLK1;ZFP36L1;APOE;GAB2;HDAC7;ARHGAP42;TBX3;RBPMS;IL27RA;SMG6;ATP11A;FOXO1;PDIA5;ARVCF;ATP2B4;DOCK10;PAN3;FUT8;PHLPP1	GCST90002400	PMID:32888494	0.43060616816279407
EFO_0009929	0.3710585105162962	EFO_0009929	measurement	15	Medication use (beta blocking agents)	CACNB2;ARHGAP42;CMIP;MET;PLCB1;EDNRA	GCST90018986	PMID:34594039	0.4305576030782168
EFO_0006336	0.3711698113207546	EFO_0006336	measurement	26	Diastolic blood pressure	CADM2;SLC16A1;ARHGAP42;BDNF;C1GALT1;STEAP2;PIEZO2;PPL;AXL;CLDN7;LGR4;MPPED2;ARNTL;COL21A1;CITED2;MAP1A	GCST90000059	PMID:33230300	0.4304273538701284
EFO_0004518	0.3711848156691899	EFO_0004518	measurement	5	Serum creatinine levels	COL4A2;DLC1;TNK2;TSPAN9;ETS1;GRB10;CRMP1;CXCR4;EPAS1;SP6;SVIL;ARL15;ADAMTS7;MECOM;BMP4;TMEM131L;AHR;INPP4A;SOX5;SDCCAG8;ZFAT;PHLDA1	GCST90018979	PMID:34594039	0.4304097980942392
EFO_0009933	0.3712153254033423	EFO_0009933	measurement	5	Medication use (thyroid preparations)	ETS1;LPP;C1QTNF6;VAV3;ELMO1;STK25;SASH1;BHLHE40;RAD51B;SLC25A37	GCST90018990	PMID:34594039	0.4303741024943568
EFO_0004765	0.3712837544185394	EFO_0004765	measurement	33	Predicted visceral adipose tissue	SLC39A8;BDNF;WSCD2;TRPS1;DNAJC1;HIVEP2;CPNE4;GADD45G;KCNB2;RANBP17;SYT14;NPC1	GCST008744	PMID:31501611	0.4302940529842795
EFO_0007984	0.3712865132757257	EFO_0007984	measurement	33	Platelet distribution width	SLC39A8;P3H2;PRUNE2;LHFPL2;FAM53B;HIVEP2;LPP;DOK6;PREX1;PDIA5;AFAP1L2;LYN;DLC1;LRCH1;DDHD1;GSE1;ZFPM1;CPS1;MLLT3;ARHGEF3;ARHGAP42;ZNF710;EEFSEC;EPC1;NDUFAF6;PCDH18;ITGA1;RNF145;RBPMS;CD226;DSE;HABP4;SDCCAG8;ST3GAL4;TSPAN9;FOXO3;HPCAL1;BMP2K;IRS1;PLCB1;JADE2	GCST90002401	PMID:32888494	0.4302908259322292
EFO_0009933	0.3713845843218414	EFO_0009933	measurement	57	Medication use (thyroid preparations)	BHLHE40;LPP;ARID5B;BACH2;SASH1;STK25;CD226	GCST90018990	PMID:34594039	0.4301761272061098
EFO_0009101	0.3713999999999999	EFO_0009101	measurement	18	Age at first birth	PDE4B;HIVEP2;HCN1;PCDH9;RARB;SDK1	GCST90000050	PMID:34211149	0.4301581005962385
EFO_0005677	0.3714140625	EFO_0005677	measurement	36	Male puberty timing (age at voice breaking MTAG)	CENPE;ZNF536;SATB2;KDM4C;DLGAP1	GCST90012088	PMID:32210231	0.43014165700298723
EFO_0009932	0.3714218749999999	EFO_0009932	measurement	26	Medication use (HMG CoA reductase inhibitors)	TCF7L2;GAS6;APOE;DNAH11;CITED2	GCST90018989	PMID:34594039	0.4301325219424209
EFO_0004612	0.3716346161383507	EFO_0004612	measurement	47	HDL cholesterol levels	COL18A1;NID2;ABCA8;LIPG;ABO;MEIS1;PID1;VCAN;ATXN1;ZFPM2;APOE;RSPO3;SMAD3;SGCZ;TPM1;ABCA1;TGOLN2;FOXP1;CMIP;IDUA;VIM;CTBP2;ZFP36L1	GCST010242	PMID:32203549	0.4298838401636169
EFO_0004346, EFO_0004464	0.3717042253521127	EFO_0004346, EFO_0004464	measurement	26	Brain morphology (min-P)	KIAA0825;DPYSL3;TCF7L2;HECW1;TOX3;VCAN;ROR1;MAGI1;ANK3;NR3C2;ROBO1;ROBO2;COL18A1;ALCAM;ITIH5;CTTNBP2;NAV2;LAMC2;COL26A1;DNAH11;FOXP1;SMARCA2;RUNX1T1;WWOX;THSD4;IL34;CTBP2;SATB2;DAAM1;CELF4;ZNF608;NAV3;FBXL7;DPP4;DCDC1;BCL11A;AKT3;DTWD2	GCST010699	PMID:32665545	0.4298025020286307
EFO_0004346, EFO_0004464	0.3717042253521127	EFO_0004346, EFO_0004464	measurement	26	Brain morphology (MOSTest)	KIAA0825;DPYSL3;TCF7L2;HECW1;TOX3;VCAN;ROR1;MAGI1;ANK3;NR3C2;ROBO1;ROBO2;COL18A1;ALCAM;ITIH5;CTTNBP2;NAV2;LAMC2;COL26A1;DNAH11;FOXP1;SMARCA2;RUNX1T1;WWOX;THSD4;IL34;CTBP2;SATB2;DAAM1;CELF4;ZNF608;NAV3;FBXL7;DPP4;DCDC1;BCL11A;AKT3;DTWD2	GCST010703	PMID:32665545	0.4298025020286307
EFO_0007991	0.3717923355931697	EFO_0007991	measurement	48	Eosinophil percentage of white cells	TRAF1;NFATC2;CDK6;HIVEP3;SPRED2;ANO1;CREB5;FOXP1;PLAUR;SYT17;FOSL1;PIK3CD;DUSP6;KLF7;BACH2;HIVEP2;MSI2;RORA;CDK17;CCND3;RUNX2;KLF12;JAK1;FOXO1;TNFRSF11B;LYST;VDR;ZEB2;PTEN;LEPR;ITGB8;EYA4;ZFAT;PPARG;CARD11;BCL2;ST3GAL6;RIN3;RAP1GAP2	GCST90002382	PMID:32888494	0.42969956734492293
EFO_0004338	0.3717933705312411	EFO_0004338	measurement	48	Weight	NTRK2;CDKN2B;LSAMP;BMP6;CADM1;LINGO2;TNS1;KCNQ5;MAML3;LTBP1;RBMS3;EPHB1;NREP;EFEMP1;ETV6;IRS1;KLF7;MAFB;PAPPA;NID2;AUTS2;DLK1;SLC22A3;TLR4;ARAP1;CPNE4;ZNF608;GPC6;GMDS;FBXL17;PCDH7;TRAF3;NCALD;FOXO1;PLCL1;GIPR;TGFB2;FBN2;SLC25A37;NPC1;TRIM66;SPRY4;GNA12	GCST90018949	PMID:34594039	0.42969835842471427
EFO_0004833	0.3718447204968944	EFO_0004833	measurement	17	Neutrophil count	MSI2;ZNF423;FAM53B;CNIH3;GJA1;CMIP;SSH2;CCND2;MAPK4;HELLS;BACH2;EEPD1;MAP3K5;SPRED2;SLC45A4;TNFAIP8;ATXN1;DNASE1;GNA12;TSPAN9;IFITM2;LYN;SETBP1;TMCO3;CPS1;STXBP5;FOXP1;CHSY1;CDK6;PLCB1;UBASH3B	GCST90002355	PMID:32888493	0.42963838030623525
EFO_0009389	0.3718924633990249	EFO_0009389	measurement	30	Sum eosinophil basophil counts	ID2;NFKBIA;ELMO1;ZFPM1;CDK6;ZEB2;LPAR1;STEAP1B;CARD11;CCND2;STAT1;PTEN	GCST004624	PMID:27863252	0.42958262276332154
EFO_0004531	0.371937984496124	EFO_0004531	measurement	36	Urate levels	MSX1;MBOAT2;ACVR2A;BICC1;TRABD2B;CUBN;DACH1;HMGB1;CENPP;EIF5A2	GCST008972	PMID:31578528	0.4295294666674372
EFO_0004531	0.371937984496124	EFO_0004531	measurement	36	Urate levels [AA]	MSX1;MBOAT2;ACVR2A;BICC1;TRABD2B;CUBN;DACH1;HMGB1;CENPP;EIF5A2	GCST008972_2	PMID:31578528	0.4295294666674372
EFO_0004531	0.371937984496124	EFO_0004531	measurement	36	Urate levels [East Asian]	MSX1;MBOAT2;ACVR2A;BICC1;TRABD2B;CUBN;DACH1;HMGB1;CENPP;EIF5A2	GCST008972_3	PMID:31578528	0.4295294666674372
EFO_0008006	0.3719685039370079	EFO_0008006	measurement	36	Youthful appearance (self-reported)	SLC39A8;TRPS1;KITLG;ZEB2;AKAP12;JAZF1;ARAP2	GCST011011	PMID:32339537	0.4294938320144796
EFO_0008006	0.372001706429846	EFO_0008006	measurement	33	Youthful appearance (self-reported)	SLC39A8;TRPS1;ARL15;TWIST2;AKAP12;HMGA2;ZEB2	GCST011011	PMID:32339537	0.4294550679370108
EFO_0006336	0.3720674962053181	EFO_0006336	measurement	24	Diastolic blood pressure	SLC39A8;TTC29;LEF1;CCDC141;CENPE;SMG6;AMOTL2;CLDN7;CACNB2;WNT9A;STXBP5;SLC16A1;ATG7;PDGFC;DOCK4;COL21A1;PPL;GPR20;BCAS3;PREX1;RSPO3;RGL3;AGBL2;SOX5;ATP2B1;PLCXD2;ARHGAP42;CITED2;C1GALT1;BICC1;PLCB1	GCST90000059	PMID:33230300	0.42937826826185566
EFO_0004530	0.372228185798533	EFO_0004530	measurement	48	Triglycerides	MICAL2;PDGFC;HIVEP3;FLT1;ETV6;PCSK6;VCAN;MAFB;NID2;ABCA1;GLI2;GAB2;PLK2;RSPO3;BANP	GCST90018975	PMID:34594039	0.4291907443882014
EFO_0004838	0.3723577466644968	EFO_0004838	measurement	55	Calcium levels	ATP2B1;CDKN2B;CD44;RORA;CCBE1;MSI2;UBASH3B;LMO1;ZFPM2;CCND2;PRKG1;ST3GAL4;CAMKMT;PCNX4;HMGB1;PLEC;CMIP;ST6GAL1;MBOAT2;PIP5K1B;SLC25A37;MAP4K3	GCST90025990	PMID:34226706	0.42903960650800954
EFO_0004518	0.372458851383984	EFO_0004518	measurement	47	Serum creatinine levels	COL18A1;COL4A2;KIF26B;CGNL1;ABO;MEIS1;GATM;APOE;SMAD3;FOXO3;TSPAN9;SVIL;HOXA13;CEMIP;RERG;TMEM131L;PPP1R3B;SOX5;SDCCAG8;ADAMTS7;MBD5;STAG1;GRB10;PDLIM5	GCST90018979	PMID:34594039	0.42892170037607746
EFO_0004617	0.3725228355809101	EFO_0004617	measurement	47	Cystatin C levels	COL18A1;COL4A2;COL4A1;KIF26B;ZEB2;CGNL1;MEIS1;PLXNB2;APOE;FLT1;SETBP1;TPM1;HEG1;MYC;RORA;TMEM266;HOXD10;DLK1;LNPK;SMG6;C9;SPRED2;RERG;EPB41L5;GLIS1;AUTS2;SDCCAG8;ADAMTS7;UBE2Q2;MBD5;ELN;PLCL1;CSF1;GRB10;KIAA1217;PDLIM5	GCST90025945	PMID:34226706	0.42884709992828507
EFO_0004518	0.3725862068965517	EFO_0004518	measurement	25	Serum creatinine levels	DACH1;KIF26B;ADGRV1;GREB1L;GRHL2;ARL15;MARK1;CASZ1;ADK;HES1;SP6;STAG1;ARID5B;NRG1;SVIL;PDLIM5;CDC14A;SHROOM3;CRMP1;APOE;GLI2;TUB;KCNMA1;CPS1;EPB41L3;SOX5;PSEN2;NOG;GRB10;SORL1;CGNL1;MITF;COL18A1;EIF5A2	GCST90018979	PMID:34594039	0.428773226679696
EFO_0004327	0.3726270141020776	EFO_0004327	measurement	14	Electrocardiographic traits (multivariate)	SLC8A1;PRKCA;KLF12;CAMK2D;SOX5;TTN;ATP1B1;ARHGAP24;SETBP1;MYH6	GCST011010	PMID:32602732	0.4287256635294455
EFO_0009389	0.3726675013435762	EFO_0009389	measurement	48	Sum eosinophil basophil counts	NFATC2;CDK6;HIVEP3;BACH2;ACTA2;JAK1;FOXO1;ZNF365;ZEB2;PTEN;STXBP6;GRB10;PPARG;CARD11;IRAK2;BCL2;RIN3;DAP	GCST004624	PMID:27863252	0.4286784784630772
EFO_0006340	0.3727344273622899	EFO_0006340	measurement	30	Mean arterial pressure	TBX3;SMAD6;FBN2;ARHGAP42;ATP2B1;PODXL;ITGB5;YES1;SLC25A37;SMG6;SLC39A8;WNT2B	GCST90018963	PMID:34594039	0.4286004920785995
EFO_0004735	0.3728914742908775	EFO_0004735	measurement	1	Alanine aminotransferase levels	GLI2;RORA;NUP210;GLDC;JAZF1;ETV6;SLC12A8;SHROOM3;EFNA5;MBNL1;MANBA;EEPD1;PIK3AP1;ARL15	GCST90018943	PMID:34594039	0.42841754613924093
EFO_0004314	0.3729062499999999	EFO_0004314	measurement	25	FEV1	NEBL;RBM20;ADAMTS19;DACH1;PRSS23;TBX3;SPRY4;ARL15;ID2;ANK2;ARID5B;MTCL1;PAX2;JAZF1;ELAVL2;SULF1;EFEMP1;C1GALT1;CDON;AFF3;NOG;EEFSEC;JAG1;BMP2;VRTN;ADAMTSL1	GCST007432	PMID:30804560	0.42840033769590596
EFO_0007006	0.3729538461538461	EFO_0007006	measurement	26	Depressive symptoms	RBFOX1;LUZP2;LARGE1;CACNA1A;ASCC3;GNAO1;SHISA9;CTTNBP2;ELAVL2;LSAMP;CELF2;TAOK3;TRHDE;CELF4;SORCS3;CACNA1E;BCL11A;ERBB4;SDK1;SCAI;LINGO1;NCAM1	GCST007340	PMID:30643256	0.42834490974873496
EFO_0004346, EFO_0006930	0.3729786475738125	EFO_0004346, EFO_0006930	measurement	48	Subcortical volume (min-P)	EGFR;TNC;CDK6;TNS1;TNIK;JAG1;NAV3;VCAN;PLEC;PAPPA;AFAP1;IGFBP3;MSRB3;RUNX2;IQCJ-SCHIP1;AKT3;DRAM1;CTBP2;GLIS3;SDCCAG8;GNA12	GCST010698	PMID:32665545	0.42831603013850394
EFO_0004346, EFO_0006930	0.3729786475738125	EFO_0004346, EFO_0006930	measurement	48	Subcortical volume (MOSTest)	EGFR;TNC;CDK6;TNS1;TNIK;JAG1;NAV3;VCAN;PLEC;PAPPA;AFAP1;IGFBP3;MSRB3;RUNX2;IQCJ-SCHIP1;AKT3;DRAM1;CTBP2;GLIS3;SDCCAG8;GNA12	GCST010702	PMID:32665545	0.42831603013850394
EFO_0009928	0.3730095235528603	EFO_0009928	measurement	1	Medication use (diuretics)	CMIP;RGL3;SLC7A1;CACNB2;PLCB1;CACNA1D;CASZ1;INSR;BICC1;ARHGAP42	GCST90018985	PMID:34594039	0.4282800797900923
EFO_0007006	0.3732370062140058	EFO_0007006	measurement	24	Depressive symptoms	LRFN5;LARGE1;SCAI;SLC7A11;SDK1;CELF2;LSAMP;FHIT;GPC6;RBMS3;ELAVL2;ASCC3;SOX5;PCDH9	GCST007340	PMID:30643256	0.4280153027664587
EFO_0004761	0.3732520119010059	EFO_0004761	measurement	14	Serum uric acid levels	EPB41L3;ABCG2;MBOAT2;ABCA1;FAT3;SOX5;GLI2;PLEKHA6;CERS4;DACH1;EPB41L2;MPPED2;ACVR2A;CDC42BPA;INSR;CRIM1;CPS1;CPEB4;APOE;SLC20A2	GCST90018977	PMID:34594039	0.42799784266482543
EFO_0009390	0.3733436921861002	EFO_0009390	measurement	42	Sum neutrophil eosinophil counts	TNFRSF10C;DOCK8;KITLG;CPEB4;SLC12A7;ABCA7	GCST004613	PMID:27863252	0.42789118187934827
EFO_0004340, EFO_0008002	0.3735416666666666	EFO_0004340, EFO_0008002	measurement	36	Body mass index	SLC39A8;CALCR;BRINP3;FBXL17;TRIM66;FOXO3	GCST004557	PMID:28448500	0.42766094781340447
EFO_0004340, EFO_0008002	0.3735416666666666	EFO_0004340, EFO_0008002	measurement	36	Body mass index [men]	SLC39A8;CALCR;BRINP3;FBXL17;TRIM66;FOXO3	GCST004557_5	PMID:28448500	0.42766094781340447
EFO_0004340, EFO_0008002	0.3735416666666666	EFO_0004340, EFO_0008002	measurement	36	Body mass index [women]	SLC39A8;CALCR;BRINP3;FBXL17;TRIM66;FOXO3	GCST004557_6	PMID:28448500	0.42766094781340447
